,file,date,longitude,latitude,ocean,profiler_code,institution_code,date_update,wmo,institution,profiler
66,coriolis/6900583/profiles/D6900583_067.nc,2013-04-29 17:38:44,-16.282,52.69,A,846,IF,2017-08-18 15:53:09,6900583,"Ifremer, France","Webb Research, Seabird sensor"
67,coriolis/6900583/profiles/D6900583_068.nc,2013-05-14 16:57:36,-16.135,52.339,A,846,IF,2017-08-18 15:53:11,6900583,"Ifremer, France","Webb Research, Seabird sensor"
68,coriolis/6900583/profiles/D6900583_069.nc,2013-05-29 17:29:49,-15.681,51.668,A,846,IF,2017-08-18 15:53:13,6900583,"Ifremer, France","Webb Research, Seabird sensor"
69,coriolis/6900583/profiles/D6900583_070.nc,2013-06-13 17:33:25,-16.169,50.806,A,846,IF,2017-08-18 15:53:14,6900583,"Ifremer, France","Webb Research, Seabird sensor"
70,coriolis/6900583/profiles/D6900583_071.nc,2013-06-28 17:42:09,-17.068,50.906,A,846,IF,2017-08-18 15:53:16,6900583,"Ifremer, France","Webb Research, Seabird sensor"
71,coriolis/6900583/profiles/D6900583_072.nc,2013-07-13 17:09:05,-16.134,50.304,A,846,IF,2017-08-18 15:53:18,6900583,"Ifremer, France","Webb Research, Seabird sensor"
72,coriolis/6900583/profiles/D6900583_073.nc,2013-07-28 17:39:50,-15.535,50.301,A,846,IF,2017-08-18 15:53:20,6900583,"Ifremer, France","Webb Research, Seabird sensor"
73,coriolis/6900583/profiles/D6900583_074.nc,2013-08-12 17:05:18,-14.488,50.322,A,846,IF,2017-08-18 15:53:22,6900583,"Ifremer, France","Webb Research, Seabird sensor"
74,coriolis/6900583/profiles/D6900583_075.nc,2013-08-27 17:36:03,-15.4,49.865,A,846,IF,2017-08-18 15:53:23,6900583,"Ifremer, France","Webb Research, Seabird sensor"
75,coriolis/6900583/profiles/D6900583_076.nc,2013-09-11 17:21:18,-16.182,50.072,A,846,IF,2017-08-18 15:53:25,6900583,"Ifremer, France","Webb Research, Seabird sensor"
76,coriolis/6900583/profiles/D6900583_077.nc,2013-09-26 17:38:07,-16.116,49.94,A,846,IF,2017-08-18 15:53:27,6900583,"Ifremer, France","Webb Research, Seabird sensor"
77,coriolis/6900583/profiles/D6900583_078.nc,2013-10-11 17:13:08,-16.645,49.666,A,846,IF,2017-08-18 15:53:29,6900583,"Ifremer, France","Webb Research, Seabird sensor"
78,coriolis/6900583/profiles/D6900583_079.nc,2013-10-26 17:43:51,-16.934,49.432,A,846,IF,2017-08-18 15:53:30,6900583,"Ifremer, France","Webb Research, Seabird sensor"
79,coriolis/6900583/profiles/D6900583_080.nc,2013-11-10 17:02:44,-17.252,49.016,A,846,IF,2017-08-18 15:53:32,6900583,"Ifremer, France","Webb Research, Seabird sensor"
80,coriolis/6900583/profiles/D6900583_081.nc,2013-11-25 17:31:15,-17.058,48.171,A,846,IF,2017-08-18 15:53:34,6900583,"Ifremer, France","Webb Research, Seabird sensor"
81,coriolis/6900583/profiles/D6900583_082.nc,2013-12-10 17:06:16,-16.641,47.932,A,846,IF,2017-08-18 15:53:36,6900583,"Ifremer, France","Webb Research, Seabird sensor"
82,coriolis/6900583/profiles/D6900583_083.nc,2013-12-25 17:33:20,-16.404,47.671,A,846,IF,2017-08-18 15:53:37,6900583,"Ifremer, France","Webb Research, Seabird sensor"
83,coriolis/6900583/profiles/D6900583_084.nc,2014-01-09 17:27:25,-16.249,47.058,A,846,IF,2017-08-18 15:53:39,6900583,"Ifremer, France","Webb Research, Seabird sensor"
84,coriolis/6900583/profiles/D6900583_085.nc,2014-01-24 16:49:13,-16.104,46.716,A,846,IF,2017-08-18 15:53:41,6900583,"Ifremer, France","Webb Research, Seabird sensor"
85,coriolis/6900583/profiles/D6900583_086.nc,2014-02-08 17:34:37,-15.879,46.691,A,846,IF,2017-08-18 15:53:43,6900583,"Ifremer, France","Webb Research, Seabird sensor"
86,coriolis/6900583/profiles/D6900583_087.nc,2014-02-23 17:02:19,-15.699,46.703,A,846,IF,2017-08-18 15:53:44,6900583,"Ifremer, France","Webb Research, Seabird sensor"
87,coriolis/6900583/profiles/D6900583_088.nc,2014-03-10 17:41:07,-15.455,46.668,A,846,IF,2017-08-18 15:53:45,6900583,"Ifremer, France","Webb Research, Seabird sensor"
